# ID	name	start	stop	frame	product description function	cogcats	status_region	status_function	type	region_number	function_number
PE_PGRS21	PE_PGRS21	1212948	1215272	1	PE_family of proteins	-	-	-	Gene	5	6
PE9	PE9	1215922	1216356	1	PE_family of proteins	-	-	-	Gene	5	6
PE10	PE10	1216373	1216540	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS22	PE_PGRS22	1217878	1220430	1	PE_family of proteins	-	-	-	Gene	5	6
PPE16	PPE16	1263671	1265527	1	PE_family of proteins	-	-	-	Gene	5	6
PPE17b	PPE17b	1300164	1300661	1	PE_family of proteins	-	-	-	Gene	5	6
PPE17a	PPE17a	1300663	1301205	1	PE_family of proteins	-	-	-	Gene	5	6
PE12	PE12	1303156	1304082	1	PE_family of proteins	-	-	-	Gene	5	6
PE13	PE13	1340281	1340580	1	PE_family of proteins	-	-	-	Gene	5	6
PPE18	PPE18	1340627	1341799	1	PE_family of proteins	-	-	-	Gene	5	6
PE14	PE14	1358521	1358895	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS23	PE_PGRS23	1386261	1387949	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS24	PE_PGRS24	1490598	1492409	1	PE_family of proteins	-	-	-	Gene	5	6
PPE19	PPE19	1534887	1536077	1	PE_family of proteins	-	-	-	Gene	5	6
PE15	PE15	1562552	1562860	1	PE_family of proteins	-	-	-	Gene	5	6
PPE20	PPE20	1562857	1564476	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS25	PE_PGRS25	1573215	1574573	1	PE_family of proteins	-	-	-	Gene	5	6
PE16	PE16	1607102	1608688	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS26	PE_PGRS26	1618946	1620421	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS27	PE_PGRS27	1631394	1635620	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS28	PE_PGRS28	1636997	1639384	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS29	PE_PGRS29	1656764	1657876	1	PE_family of proteins	-	-	-	Gene	5	6
PPE21	PPE21	1739719	1741755	1	PE_family of proteins	-	-	-	Gene	5	6
PE17	PE17	1845538	1846470	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS30	PE_PGRS30	1852121	1855177	1	PE_family of proteins	-	-	-	Gene	5	6
PPE22	PPE22	1921247	1922404	1	PE_family of proteins	-	-	-	Gene	5	6
PPE23	PPE23	1922444	1923628	1	PE_family of proteins	-	-	-	Gene	5	6
PPE24	PPE24	1971421	1974576	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS31	PE_PGRS31	1995463	1997337	1	PE_family of proteins	-	-	-	Gene	5	6
PPE25	PPE25	2020168	2021262	1	PE_family of proteins	-	-	-	Gene	5	6
PE18	PE18	2021341	2021640	1	PE_family of proteins	-	-	-	Gene	5	6
PPE26	PPE26	2021654	2022835	1	PE_family of proteins	-	-	-	Gene	5	6
PPE27	PPE27	2023289	2024341	1	PE_family of proteins	-	-	-	Gene	5	6
PE19	PE19	2024768	2025067	1	PE_family of proteins	-	-	-	Gene	5	6
PPE28	PPE28	2034317	2036284	1	PE_family of proteins	-	-	-	Gene	5	6
PPE29	PPE29	2036865	2038136	1	PE_family of proteins	-	-	-	Gene	5	6
PPE30	PPE30	2038248	2039639	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS32b	PE_PGRS32b	2039787	2041409	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS32a	PE_PGRS32a	2041443	2041706	1	PE_family of proteins	-	-	-	Gene	5	6
PE20	PE20	2042936	2043235	1	PE_family of proteins	-	-	-	Gene	5	6
PPE31	PPE31	2043250	2044461	1	PE_family of proteins	-	-	-	Gene	5	6
PPE32	PPE32	2044785	2046014	1	PE_family of proteins	-	-	-	Gene	5	6
PPE33a	PPE33a	2046146	2046709	1	PE_family of proteins	-	-	-	Gene	5	6
PPE33b	PPE33b	2046710	2047558	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS33	PE_PGRS33	2056042	2057547	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS34	PE_PGRS34	2082732	2084132	1	PE_family of proteins	-	-	-	Gene	5	6
PPE34	PPE34	2157623	2163355	1	PE_family of proteins	-	-	-	Gene	5	6
PPE35b	PPE35b	2163693	2164697	1	PE_family of proteins	-	-	-	Gene	5	6
PPE35a	PPE35a	2164780	2166657	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS35	PE_PGRS35	2209570	2211246	1	PE_family of proteins	-	-	-	Gene	5	6
PE22	PE22	2352253	2352549	1	PE_family of proteins	-	-	-	Gene	5	6
PPE36	PPE36	2352605	2353336	1	PE_family of proteins	-	-	-	Gene	5	6
PPE37	PPE37	2365907	2367301	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS37	PE_PGRS37	2372011	2373078	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS38	PE_PGRS38	2408169	2409641	1	PE_family of proteins	-	-	-	Gene	5	6
PE23	PE23	2582737	2583885	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS39	PE_PGRS39	2599675	2600916	1	PE_family of proteins	-	-	-	Gene	5	6
PPE71	PPE71	2608062	2609435	1	PE_family of proteins	-	-	-	Gene	5	6
PPE40	PPE40	2610173	2612017	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS40	PE_PGRS40	2624235	2624420	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS41	PE_PGRS41	2665282	2666364	1	PE_family of proteins	-	-	-	Gene	5	6
PE24	PE24	2678612	2679331	1	PE_family of proteins	-	-	-	Gene	5	6
PPE41	PPE41	2699910	2700494	1	PE_family of proteins	-	-	-	Gene	5	6
PE25	PE25	2700541	2700840	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS42d	PE_PGRS42d	2766513	2767016	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS42b	PE_PGRS42b	2767013	2767960	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS42a	PE_PGRS42a	2767977	2768597	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS43b	PE_PGRS43b	2772466	2775918	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS43a	PE_PGRS43a	2775915	2777444	1	PE_family of proteins	-	-	-	Gene	5	6
PE26	PE26	2806993	2808471	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS44	PE_PGRS44	2893410	2895050	1	PE_family of proteins	-	-	-	Gene	5	6
PPE42	PPE42	2906914	2908656	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS45	PE_PGRS45	2915468	2916862	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS46	PE_PGRS46	2931978	2934314	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS47	PE_PGRS47	3014940	3016454	1	PE_family of proteins	-	-	-	Gene	5	6
PPE43	PPE43	3037880	3039064	1	PE_family of proteins	-	-	-	Gene	5	6
PE27	PE27	3039144	3039971	1	PE_family of proteins	-	-	-	Gene	5	6
PPE44	PPE44	3040295	3041443	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS48	PE_PGRS48	3123196	3125043	1	PE_family of proteins	-	-	-	Gene	5	6
PPE45	PPE45	3161722	3162948	1	PE_family of proteins	-	-	-	Gene	5	6
PPE46	PPE46	3337966	3339279	1	PE_family of proteins	-	-	-	Gene	5	6
PE27A	PE27A	3339300	3339386	1	PE_family of proteins	-	-	-	Gene	5	6
PPE47	PPE47	3340347	3341654	1	PE_family of proteins	-	-	-	Gene	5	6
PE29	PE29	3341651	3341965	1	PE_family of proteins	-	-	-	Gene	5	6
PPE49	PPE49	3448660	3449835	1	PE_family of proteins	-	-	-	Gene	5	6
PPE50	PPE50	3459518	3460663	1	PE_family of proteins	-	-	-	Gene	5	6
PPE51	PPE51	3461315	3462457	1	PE_family of proteins	-	-	-	Gene	5	6
PPE52	PPE52	3469609	3470838	1	PE_family of proteins	-	-	-	Gene	5	6
PPE53	PPE53	3486912	3488681	1	PE_family of proteins	-	-	-	Gene	5	6
PPE70	PPE70	3488929	3490827	1	PE_family of proteins	-	-	-	Gene	5	6
PPE54	PPE54	3691027	3695043	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS50b	PE_PGRS50b	3695092	3699105	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS50a	PE_PGRS50a	3699102	3700721	1	PE_family of proteins	-	-	-	Gene	5	6
PPE55b	PPE55b	3701658	3704843	1	PE_family of proteins	-	-	-	Gene	5	6
PPE55a	PPE55a	3704840	3711130	1	PE_family of proteins	-	-	-	Gene	5	6
PPE56d	PPE56d	3713892	3717551	1	PE_family of proteins	-	-	-	Gene	5	6
PPE56b	PPE56b	3717545	3723679	1	PE_family of proteins	-	-	-	Gene	5	6
PPE56a	PPE56a	3723737	3725041	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS51	PE_PGRS51	3736507	3738387	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS52	PE_PGRS52	3758349	3760598	1	PE_family of proteins	-	-	-	Gene	5	6
PPE57	PPE57	3799280	3799816	1	PE_family of proteins	-	-	-	Gene	5	6
PE31	PE31	3844844	3845140	1	PE_family of proteins	-	-	-	Gene	5	6
PPE60	PPE60	3845177	3846358	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS53	PE_PGRS53	3876605	3880687	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS54	PE_PGRS54	3880978	3885360	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS55	PE_PGRS55	3888267	3894083	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS57	PE_PGRS57	3894914	3897892	1	PE_family of proteins	-	-	-	Gene	5	6
PPE61	PPE61	3916971	3918191	1	PE_family of proteins	-	-	-	Gene	5	6
PPE62	PPE62	3918333	3920081	1	PE_family of proteins	-	-	-	Gene	5	6
PPE63	PPE63	3925687	3927126	1	PE_family of proteins	-	-	-	Gene	5	6
PPE64	PPE64	3945608	3947266	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS58	PE_PGRS58	3979031	3980785	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS59	PE_PGRS59	3984225	3985703	1	PE_family of proteins	-	-	-	Gene	5	6
PE33	PE33	4032882	4033166	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS60	PE_PGRS60	4035281	4035595	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS61	PE_PGRS61	4035589	4036302	1	PE_family of proteins	-	-	-	Gene	5	6
PPE66	PPE66	4131157	4131513	1	PE_family of proteins	-	-	-	Gene	5	6
PE34	PE34	4136877	4137212	1	PE_family of proteins	-	-	-	Gene	5	6
PE_PGRS62	PE_PGRS62	4217256	4218770	1	PE_family of proteins	-	-	-	Gene	5	6
PE35	PE35	4291477	4291773	1	PE_family of proteins	-	-	-	Gene	5	6
PPE68	PPE68	4291807	4292913	1	PE_family of proteins	-	-	-	Gene	5	6
PPE69	PPE69	4312853	4314052	1	PE_family of proteins	-	-	-	Gene	5	6
PE36	PE36	4314131	4314364	1	PE_family of proteins	-	-	-	Gene	5	6
